Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-01-08,2.5,2.5,2.5,2.5
2014-02-05,2.5,2.5,2.5,2.5
2014-03-05,2.5,2.5,2.5,2.5
2014-04-09,2.5,2.5,2.5,2.5
2014-05-07,2.5,2.5,2.5,2.5
2014-06-03,2.5,2.5,2.5,2.5
2014-07-02,2.5,2.5,2.5,2.5
2014-09-03,2.5,2.5,2.5,2.5
2014-10-08,2,2,2,2
2014-11-05,2,2,2,2
2014-12-03,2,2,2,2
2015-01-14,2,2,2,2
2015-02-04,2,2,2,2
2015-03-04,1.5,1.5,1.5,1.5
2015-04-15,1.5,1.5,1.5,1.5
2015-05-06,1.5,1.5,1.5,1.5
2015-06-03,1.5,1.5,1.5,1.5
2015-07-08,1.5,1.5,1.5,1.5
2015-09-02,1.5,1.5,1.5,1.5
2015-10-06,1.5,1.5,1.5,1.5
2015-11-04,1.5,1.5,1.5,1.5
2015-12-02,1.5,1.5,1.5,1.5
2016-01-14,1.5,1.5,1.5,1.5
2016-02-03,1.5,1.5,1.5,1.5
2016-03-11,1.5,1.5,1.5,1.5
2016-04-06,1.5,1.5,1.5,1.5
2016-05-06,1.5,1.5,1.5,1.5
2016-06-08,1.5,1.5,1.5,1.5
2016-07-06,1.5,1.5,1.5,1.5
2016-09-07,1.5,1.5,1.5,1.5
2016-10-05,1.5,1.5,1.5,1.5
2016-11-09,1.5,1.5,1.5,1.5
2016-12-07,1.5,1.5,1.5,1.5
2017-01-11,1.5,1.5,1.5,1.5
2017-02-08,1.5,1.5,1.5,1.5
2017-03-08,1.5,1.5,1.5,1.5
2017-04-05,1.5,1.5,1.5,1.5
2017-05-17,1.5,1.5,1.5,1.5
2017-06-07,1.5,1.5,1.5,1.5
2017-07-05,1.5,1.5,1.5,1.5
2017-09-06,1.5,1.5,1.5,1.5
2017-10-04,1.5,1.5,1.5,1.5
2017-11-08,1.5,1.5,1.5,1.5
2017-12-05,1.5,1.5,1.5,1.5
2018-01-10,1.5,1.5,1.5,1.5
2018-02-07,1.5,1.5,1.5,1.5
2018-03-07,1.5,1.5,1.5,1.5
2018-04-11,1.5,1.5,1.5,1.5
2018-05-16,1.5,1.5,1.5,1.5
2018-06-06,1.5,1.5,1.5,1.5
2018-07-11,1.5,1.5,1.5,1.5
2018-09-05,1.5,1.5,1.5,1.5
2018-10-03,1.5,1.5,1.5,1.5
2018-11-07,1.5,1.5,1.5,1.5
2018-12-05,1.5,1.5,1.5,1.5
2019-01-09,1.5,1.5,1.5,1.5
2019-02-06,1.5,1.5,1.5,1.5
2019-03-06,1.5,1.5,1.5,1.5
2019-04-03,1.5,1.5,1.5,1.5
2019-05-15,1.5,1.5,1.5,1.5
2019-06-05,1.5,1.5,1.5,1.5
2019-07-03,1.5,1.5,1.5,1.5
2019-09-11,1.5,1.5,1.5,1.5
2019-10-02,1.5,1.5,1.5,1.5
2019-11-06,1.5,1.5,1.5,1.5
2019-12-04,1.5,1.5,1.5,1.5
2020-01-08,1.5,1.5,1.5,1.5
2020-02-05,1.5,1.5,1.5,1.5
2020-03-04,1,1,1,1
2020-04-08,0.5,0.5,0.5,0.5
2020-05-28,0.1,0.1,0.1,0.1
2020-06-16,0.1,0.1,0.1,0.1
2020-07-14,0.5,0.5,0.5,0.5
2020-09-15,0.5,0.5,0.5,0.5
2020-10-07,0.5,0.5,0.5,0.5
2020-11-06,0.5,0.5,0.5,0.5
2020-12-02,1,1,1,1
2021-01-13,0.1,0.1,0.1,0.1
2021-02-03,0.1,0.1,0.1,0.1
2021-03-03,0.1,0.1,0.1,0.1
2021-04-07,0.1,0.1,0.1,0.1
2021-05-05,0.1,0.1,0.1,0.1
2021-06-09,0.1,0.1,0.1,0.1
2021-07-08,0.1,0.1,0.1,0.1
2021-09-08,0.1,0.1,0.1,0.1
2021-10-06,0.5,0.5,0.5,0.5
2021-11-03,1.25,1.25,1.25,1.25
2021-12-08,1.75,1.75,1.75,1.75
2022-01-04,2.25,2.25,2.25,2.25
2022-02-08,2.75,2.75,2.75,2.75
2022-03-08,3.5,3.5,3.5,3.5
2022-04-06,4.5,4.5,4.5,4.5
2022-05-05,5.25,5.25,5.25,5.25
2022-06-08,6,6,6,6
2022-07-07,6.5,6.5,6.5,6.5
2022-09-07,6.75,6.75,6.75,6.75
2022-10-05,6.75,6.75,6.75,6.75
2022-11-09,6.75,6.75,6.75,6.75
2022-12-07,6.75,6.75,6.75,6.75
2023-01-04,6.75,6.75,6.75,6.75
2023-02-08,6.75,6.75,6.75,6.75
2023-03-08,6.75,6.75,6.75,6.75
2023-04-05,6.75,6.75,6.75,6.75
2023-05-10,6.75,6.75,6.75,6.75
2023-06-06,6.75,6.75,6.75,6.75
2023-07-06,6.75,6.75,6.75,6.75
2023-09-06,6,6,6,6
2023-10-04,5.75,5.75,5.75,5.75
2023-11-08,5.75,5.75,5.75,5.75
2023-12-06,5.75,5.75,5.75,5.75
